N,Cos Taylor,math.cos,Error Cos,Exp Taylor,math.exp,Error Exp,Sen Taylor,math.sin,Error Sen,Log Taylor,math.log,Error Log,Inv Taylor,1/(1-x),Error Inv,Binomial Taylor,(1+x)^k,Error Binomial,Arctan Taylor,math.atan,Error Arctan,Fecha,Hora
1698,0.8660254037844386,0.8660254037844387,1.1102230246251565e-16,1.6880917949432293,1.6880917949644685,2.123923259489402e-11,0.49999999999999994,0.49999999999999994,0.0,-0.6469831055512042,-0.6470295833786549,4.6477827450708276e-05,0.6775169678251433,2.099071011532079,1.4215540437069358,2.321353229004635,2.321353229004635,0.0,0.48234791905948526,0.48234790710102493,1.1958460333083565e-08,2024-09-17,12:46:21
1699,0.8571673007021124,0.8571673007021123,1.1102230246251565e-16,1.717813168276671,1.7178131683071807,3.050959485051408e-11,0.5150380749100542,0.5150380749100542,0.0,-0.6142097978890589,-0.614239760555664,2.996266660504343e-05,0.6855558447915141,2.1788964074853645,1.4933405626938505,2.3748414766515116,2.3748414766515116,0.0,0.4959474766345002,0.4959474515543847,2.508011548441047e-08,2024-09-17,12:46:21
1700,0.848048096156426,0.848048096156426,0.0,1.7480578307049495,1.748057830748277,4.332756375902136e-11,0.529919264233205,0.5299192642332049,1.1102230246251565e-16,-0.5824720359493267,-0.5824910622410837,1.9026291756985003e-05,0.6938105694822767,2.265033164265621,1.5712225947833443,2.42893895913796,2.42893895913796,0.0,0.5093498290482245,0.5093497777060075,5.1342216922378725e-08,2024-09-17,12:46:21
1701,0.838670567945424,0.838670567945424,0.0,1.7788349955117937,1.7788349955726668,6.087308435098748e-11,0.544639035015027,0.5446390350150271,1.1102230246251565e-16,-0.5517075188527063,-0.5517194035743299,1.188472162361176e-05,0.7022827729538498,2.3582605975754265,1.6559778246215768,2.4836456764639836,2.4836456764639836,0.0,0.5225545373913458,0.5225544346474,1.0274394579568025e-07,2024-09-17,12:46:21
1702,0.8290375725550417,0.8290375725550417,0.0,1.8101540381942136,1.8101540382788779,8.466427559028489e-11,0.5591929034707469,0.5591929034707469,0.0,-0.5218591485620944,-0.5218664404246487,7.291862554326123e-06,0.7109758941757736,2.4594918354591426,1.748515941283369,2.538961628629579,2.538961628629579,0.0,0.5355614616069252,0.5355612603445071,2.0126241806472933e-07,2024-09-17,12:46:21
1703,0.8191520442889918,0.8191520442889918,0.0,1.8420244993184334,1.8420244994350716,1.1663825461027955e-10,0.573576436351046,0.573576436351046,0.0,-0.49287451647979824,-0.4928789035513966,4.387071598332959e-06,0.7198948646645419,2.569803826749512,1.84990896208497,2.5948868156347484,2.5948868156347484,0.0,0.5483707516791178,0.5483703652841707,3.8639494703840427e-07,2024-09-17,12:46:21
1704,0.8090169943749475,0.8090169943749475,0.0,1.874456087426088,1.8744560875853382,1.5925016860762753e-10,0.5877852522924731,0.5877852522924731,0.0,-0.4647054432935535,-0.46470802658470023,2.5832911467182917e-06,0.729045863816134,2.690475804273079,1.961429940456945,2.6514212374794917,2.6514212374794917,0.0,0.5609828439804138,0.5609821161086238,7.278717899517062e-07,2024-09-17,12:46:21
1705,0.7986355100472928,0.7986355100472928,0.0,1.9074586819915733,1.9074586822071646,2.1559132257209512e-10,0.6018150231520483,0.6018150231520483,0.0,-0.4373075668222509,-0.43730905239658574,1.4855743348252126e-06,0.7384361331777459,2.823039118854756,2.08460298567701,2.708564894163808,2.708564894163808,0.0,0.5733984660900779,0.573397119345432,1.3467446459136667e-06,2024-09-17,12:46:21
1706,0.7880107536067221,0.7880107536067219,2.220446049250313e-16,1.94104233643144,1.9410423367209704,2.8953039965529115e-10,0.6156614753256582,0.6156614753256583,1.1102230246251565e-16,-0.41063997305540606,-0.4106408053144244,8.322590183129641e-07,0.7480738395618174,2.9693425691476434,2.2212687295858258,2.766317785687698,2.766317785687698,0.0,0.5856186551750249,0.5856162053285445,2.449846480345741e-06,2024-09-17,12:46:21
1707,0.7771459614569708,0.7771459614569709,1.1102230246251565e-16,1.9752172811667574,1.9752172815526334,3.858759978214721e-10,0.6293203910498376,0.6293203910498374,2.220446049250313e-16,-0.3846648659957789,-0.38466531891116384,4.529153849186507e-07,0.7579679784055723,3.131639156020283,2.373671177614711,2.8246799120511605,2.82467991205116,4.440892098500626e-16,0.5976447977001648,0.5976404123945914,4.385305573340048e-06,2024-09-17,12:46:21
